<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200201,001500,28248.2137687,28256.9840649,28248.2137687,28256.9840649,892
20200201,003000,28256.9840649,28256.9840649,28256.9840649,28256.9840649,301
20200203,174500,28320.6062130,28464.5810741,28320.6062130,28461.9709860,696
20200203,180000,28464.3710670,28560.4643115,28464.3710670,28544.2637645,777
20200203,181500,28545.0137899,28619.0062881,28541.4936710,28579.8349656,496
20200203,183000,28589.2952850,28631.3567051,28569.1046033,28621.5363736,809
20200203,184500,28621.9563877,28627.3665704,28573.8247626,28577.5448882,876
20200203,190000,28578.7849301,28581.7550304,28531.6433384,28550.0339594,889
20200203,191500,28551.2640009,28579.5249551,28522.8330409,28525.9331456,895
20200203,193000,28525.2831237,28532.7233749,28491.1019696,28491.4119800,899
20200203,194500,28491.7619919,28498.1022059,28416.9794669,28431.3499521,854
20200203,200000,28431.4899569,28438.6001969,28396.8587876,28438.6001969,897
20200203,201500,28438.8902067,28443.3903587,28397.4888088,28431.7099643,899
20200203,203000,28432.6199950,28474.9114229,28432.5599930,28446.5804664,897
20200203,204500,28447.0604826,28453.7907098,28412.1893052,28440.5702634,900
20200203,210000,28440.5602631,28458.9708847,28424.2897137,28445.8104404,900
20200203,211500,28445.8904431,28451.7406406,28368.9278445,28384.3783662,899
20200203,213000,28384.9083841,28415.8594291,28373.1079856,28396.2387666,900
20200203,214500,28396.9187896,28441.6903013,28388.0084887,28429.7198971,900
20200203,220000,28428.8698684,28442.7003354,28410.9392630,28439.9302418,900
20200203,221500,28439.0402118,28440.2802536,28383.4383344,28383.4783358,900
20200203,223000,28383.6683422,28423.4596857,28381.4582676,28402.9989949,900
20200203,224500,28403.3390064,28440.2802536,28380.9282497,28435.0300764,900
20200203,230000,28435.0500771,28458.3308631,28435.0500771,28436.5601280,900
20200203,231500,28436.6201301,28462.8310150,28430.5299244,28438.8602057,900
20200203,233000,28439.0502121,28483.6617184,28428.8098664,28483.6617184,900
20200203,234500,28483.9917295,28484.8617589,28433.2700170,28433.2700170,900
20200204,000000,28433.4300224,28433.4300224,28381.9882855,28403.4390097,887
20200204,001500,28398.8788558,28400.7689196,28397.9288237,28400.7689196,893
20200204,003000,28400.7689196,28400.7689196,28400.7689196,28400.7689196,301
20200204,174500,28697.7089454,28811.7927973,28697.7089454,28788.1920005,578
20200204,180000,28788.1619995,28852.7741810,28788.1619995,28838.7837087,778
20200204,181500,28840.5037667,28852.7341797,28792.8221568,28798.1523368,799
20200204,183000,28798.2123388,28863.8245541,28786.5519451,28863.4745423,888
20200204,184500,28863.5845460,28881.1551393,28849.5440720,28864.0345612,882
20200204,190000,28864.6345815,28870.8747922,28829.7334031,28833.8235412,888
20200204,191500,28836.1336192,28851.5741405,28822.8631711,28838.5136995,881
20200204,193000,28838.7837087,28885.7352939,28837.2236560,28873.3448756,898
20200204,194500,28873.3248749,28901.0158099,28872.5148476,28884.6052558,897
20200204,200000,28884.2152426,28894.5255907,28856.2642989,28872.8648594,898
20200204,201500,28872.7248546,28896.7556660,28866.6246487,28895.7956336,900
20200204,203000,28895.6156275,28903.0658791,28880.7651261,28890.4754540,877
20200204,204500,28890.3454496,28895.5356248,28872.0848330,28879.1950731,899
20200204,210000,28879.2150738,28884.0952386,28861.8344869,28878.9250640,900
20200204,211500,28879.2350745,28889.8354324,28859.1543965,28859.1543965,900
20200204,213000,28859.2644002,28861.4944755,28831.6034662,28845.2739278,900
20200204,214500,28845.3039288,28875.6049519,28844.8539136,28873.0448654,900
20200204,220000,28872.8148577,28887.4553520,28867.1946679,28887.4553520,900
20200204,221500,28887.3653490,28905.8559733,28880.6951238,28903.9259081,900
20200204,223000,28903.7559024,28903.9459088,28860.7744512,28865.2946038,899
20200204,224500,28865.2946038,28896.0756431,28857.0943269,28894.0655752,899
20200204,230000,28894.2555816,28896.6256616,28859.6844143,28860.0344262,900
20200204,231500,28859.9444231,28860.6344464,28840.0537515,28843.3638633,900
20200204,233000,28843.5538697,28878.1450377,28837.4836648,28871.0847993,900
20200204,234500,28871.1948030,28876.9649978,28834.7235716,28840.5037667,900
20200205,000000,28839.6137367,28850.2740966,28795.8022574,28811.2527791,868
20200205,001500,28810.3927501,28810.3927501,28808.6026896,28808.6026896,895
20200205,003000,28808.6026896,28808.6026896,28808.6026896,28808.6026896,301
20200205,174500,29049.7108304,29096.5824129,29048.1507777,29074.7516758,470
20200205,180000,29072.6616053,29142.2139536,29071.4815654,29108.3428100,635
20200205,181500,29111.7229241,29142.9339779,29075.3816971,29082.0819233,614
20200205,183000,29081.3118973,29105.1027006,29008.2994322,29033.3102766,655
20200205,184500,29033.9102969,29057.9111072,29001.8292137,29038.9104657,648
20200205,190000,29047.0907419,29091.5122418,29028.8801270,29085.2920317,800
20200205,191500,29085.8620510,29113.4529826,29056.4610583,29111.4529150,863
20200205,193000,29111.3829127,29128.6834968,29101.4425770,29120.1932101,900
20200205,194500,29120.7032274,29124.0833415,29068.8814776,29084.0519899,885
20200205,200000,29084.5020051,29144.6440357,29084.5020051,29144.6440357,900
20200205,201500,29144.3740266,29178.1751678,29136.2837534,29175.2350686,900
20200205,203000,29175.2650696,29181.7952901,29156.6344405,29159.4145344,900
20200205,204500,29159.2645293,29167.4948072,29150.8442450,29159.7545459,900
20200205,210000,29160.0345553,29182.1553022,29157.9244841,29164.8347174,900
20200205,211500,29165.4747390,29167.6348119,29145.8640769,29152.8743136,900
20200205,213000,29153.2243254,29170.9549240,29143.0239810,29167.4748065,900
20200205,214500,29167.5448089,29193.5656875,29162.9946553,29192.9156655,899
20200205,220000,29193.1556736,29218.7465377,29193.1556736,29205.2660825,900
20200205,221500,29205.3960869,29209.9762416,29179.5752151,29182.3753096,900
20200205,223000,29182.4353117,29235.0170870,29182.1553022,29224.9067457,900
20200205,224500,29224.6367365,29232.3369965,29215.7764374,29231.5969716,896
20200205,230000,29231.3669638,29264.3980790,29221.9066444,29254.0477296,900
20200205,231500,29254.7577535,29286.3888215,29251.0876296,29265.2181067,894
20200205,233000,29266.0281341,29309.8796147,29266.0281341,29297.7792061,900
20200205,234500,29297.5491984,29297.6092004,29259.9679295,29281.4086534,900
20200206,000000,29281.1486446,29293.2690538,29233.1770249,29293.2690538,865
20200206,001500,29292.4190251,29292.4190251,29291.2689863,29291.8390056,893
20200206,003000,29291.8390056,29291.8390056,29291.8390056,29291.8390056,301
20200206,174500,29389.5723054,29407.3829068,29277.6185254,29301.8993452,642
