<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200203,101500,3062.2700000,3084.1600000,3058.5100000,3076.5600000,5760826999
20200203,103000,3076.5000000,3079.5900000,3071.7400000,3071.7400000,2202289981
20200203,104500,3071.6500000,3072.9800000,3064.5200000,3065.2400000,3019613874
20200203,110000,3065.3200000,3074.3600000,3064.5500000,3072.9900000,2298148171
20200203,111500,3073.3800000,3075.7200000,3067.7700000,3069.0700000,2658208558
20200203,113000,3068.8400000,3074.8700000,3068.6600000,3072.0500000,2086146784
20200203,114500,3072.0500000,3075.3600000,3068.6700000,3073.2800000,2150380047
20200203,120000,3073.3300000,3076.0200000,3070.6400000,3072.6200000,2009511448
20200203,121500,3072.6800000,3078.5500000,3069.0200000,3077.3500000,2267911740
20200203,123000,3077.2800000,3080.1800000,3074.1800000,3076.2800000,2342447049
20200203,124500,3076.3300000,3077.4400000,3072.9400000,3075.4000000,1163266409
20200203,130000,3075.2000000,3077.4600000,3073.8300000,3074.0400000,849416799
20200203,131500,3074.0200000,3075.4800000,3071.0300000,3073.7200000,955817042
20200203,133000,3073.7200000,3077.9700000,3072.6400000,3077.3400000,1451520539
20200203,134500,3077.1900000,3078.5900000,3073.2500000,3073.2900000,1316000256
20200203,140000,3073.2500000,3076.6800000,3073.2400000,3076.1000000,1103140492
20200203,141500,3076.1300000,3081.5900000,3075.2800000,3080.9200000,1268578235
20200203,143000,3080.9900000,3081.3600000,3075.7700000,3077.2200000,1160609358
20200203,144500,3077.1400000,3077.3100000,3074.6700000,3075.6500000,901506994
20200203,150000,3075.5800000,3080.0100000,3075.1700000,3077.1500000,1088874842
20200203,151500,3077.4800000,3077.4800000,3074.1500000,3074.7000000,920923227
20200203,153000,3074.7500000,3076.3700000,3068.6000000,3070.6600000,1693382199
20200203,154500,3070.7500000,3071.6300000,3063.9000000,3067.6200000,2565226586
20200203,160000,3067.7700000,3070.0600000,3066.0300000,3069.3400000,1910874461
20200203,161500,3069.4500000,3070.8400000,3063.7100000,3069.2000000,2013378991
20200203,163000,3069.2300000,3075.9000000,3069.2300000,3075.3100000,2445128155
20200203,164500,3075.2400000,3078.0600000,3073.6600000,3075.0300000,2614055707
20200203,170000,3075.0300000,3075.1700000,3068.9400000,3069.6300000,1537757855
20200203,171500,3069.5700000,3071.8300000,3067.3400000,3071.8300000,1339172478
20200203,173000,3071.8800000,3073.0400000,3069.3300000,3069.5200000,1400765343
20200203,174500,3069.4900000,3074.0700000,3068.0200000,3070.7700000,2138073416
20200203,180000,3070.7400000,3084.0600000,3070.7400000,3079.8800000,3585995471
20200203,181500,3081.9900000,3085.8900000,3074.7100000,3074.9500000,3430333170
20200203,183000,3074.7200000,3078.5700000,3073.1100000,3073.9300000,2536134402
20200203,184500,3074.0400000,3074.4500000,3072.2300000,3073.3800000,2161079406
20200203,190000,3070.8400000,3070.8400000,3070.8400000,3070.8400000,13131204570
20200204,101500,3082.3300000,3090.3500000,3082.1400000,3083.5900000,4372397506
20200204,103000,3083.6000000,3087.2700000,3082.6400000,3086.1900000,2172215972
20200204,104500,3086.3300000,3088.0600000,3083.0000000,3083.0000000,2141123169
20200204,110000,3082.5400000,3082.9200000,3076.0000000,3077.6400000,2737789220
20200204,111500,3077.7000000,3083.4400000,3074.5100000,3075.1200000,3340266373
20200204,113000,3075.2500000,3079.1900000,3074.8800000,3076.2000000,2708160448
20200204,114500,3076.1000000,3076.7000000,3071.7900000,3074.3900000,3260621560
20200204,120000,3074.4500000,3080.2500000,3072.8100000,3079.9300000,2885241632
20200204,121500,3079.9400000,3082.8700000,3077.8400000,3079.1800000,2706855183
20200204,123000,3079.1900000,3080.0500000,3077.8200000,3079.0000000,1564471932
20200204,124500,3079.0500000,3083.1100000,3078.2300000,3081.8900000,2064511860
20200204,130000,3081.9400000,3086.7200000,3080.3200000,3084.0300000,1922629708
20200204,131500,3084.0400000,3085.5800000,3080.7400000,3085.4200000,2160005602
20200204,133000,3085.4500000,3089.5600000,3083.6700000,3089.3800000,2029969246
20200204,134500,3089.3700000,3092.2700000,3088.7500000,3091.3000000,2111247019
20200204,140000,3091.3600000,3093.6600000,3090.2100000,3093.3700000,1467348247
20200204,141500,3093.2500000,3094.2500000,3090.7400000,3093.8900000,1639534862
20200204,143000,3093.9100000,3095.3100000,3091.6900000,3094.8100000,1443498291
20200204,144500,3094.7200000,3096.0500000,3093.7000000,3095.0900000,1808109651
20200204,150000,3095.0800000,3095.2000000,3089.4100000,3092.0000000,1620884003
20200204,151500,3091.9600000,3092.9100000,3088.2900000,3092.3000000,2316302198
20200204,153000,3092.2700000,3099.5800000,3091.3700000,3099.5800000,3108737758
20200204,154500,3099.6100000,3100.1200000,3096.8700000,3099.2800000,2048986306
20200204,160000,3099.2700000,3100.6900000,3098.4300000,3099.5600000,1922287620
20200204,161500,3099.5500000,3102.7200000,3098.3500000,3102.4100000,2392337593
20200204,163000,3102.3900000,3105.7600000,3099.8700000,3105.4500000,2292905277
20200204,164500,3105.3800000,3105.7500000,3099.6000000,3100.5200000,2319473802
20200204,170000,3100.4400000,3105.4900000,3099.8500000,3105.3600000,1727999907
20200204,171500,3105.4500000,3105.9800000,3099.7800000,3100.1300000,1943067201
20200204,173000,3100.1500000,3101.2300000,3097.9300000,3098.1500000,1934853923
20200204,174500,3098.1800000,3101.1300000,3097.1100000,3100.3400000,2195450238
20200204,180000,3100.2700000,3102.6600000,3100.1800000,3101.5400000,2662664098
20200204,181500,3101.2500000,3101.3500000,3095.4600000,3097.3100000,2677646829
20200204,183000,3097.3400000,3098.8600000,3095.5800000,3098.5200000,2142159793
20200204,184500,3098.5100000,3099.9600000,3098.0100000,3098.9900000,2392235056
20200204,190000,3097.6000000,3097.6000000,3097.6000000,3097.6000000,3583092629
20200205,101500,3104.8600000,3106.2100000,3083.2600000,3085.1800000,3746748697
20200205,103000,3085.2900000,3093.5800000,3085.2600000,3092.1800000,1957076299
20200205,104500,3092.1900000,3095.2700000,3091.6300000,3095.1000000,1858041760
20200205,110000,3095.2500000,3098.0100000,3092.4600000,3096.3600000,1370098836
20200205,111500,3096.4000000,3098.2700000,3090.4500000,3093.2400000,2389735260
20200205,113000,3093.2100000,3095.6100000,3087.3900000,3094.6500000,2171672909
20200205,114500,3094.7400000,3107.2900000,3092.7900000,3107.2900000,5362619395
20200205,120000,3108.9300000,3118.3500000,3107.9000000,3112.7800000,5626093772
20200205,121500,3112.5600000,3123.3600000,3111.5800000,3118.8400000,4569313394
20200205,123000,3118.8200000,3127.5600000,3118.6500000,3125.6600000,3543744607
20200205,124500,3125.7600000,3131.0900000,3123.2500000,3126.2000000,3650955159
20200205,130000,3126.2000000,3127.9600000,3121.8900000,3122.5600000,2436503740
20200205,131500,3122.6500000,3125.7400000,3122.4500000,3124.7600000,2026806627
20200205,133000,3124.7500000,3130.9600000,3124.7500000,3126.2800000,2663792252
20200205,134500,3126.2500000,3128.0200000,3125.3200000,3126.3400000,1404584937
20200205,140000,3126.3100000,3129.5400000,3124.9600000,3128.9600000,1585946444
20200205,141500,3128.9600000,3136.2100000,3127.4300000,3134.0600000,2602020026
20200205,143000,3134.0100000,3137.9700000,3133.4000000,3133.4000000,2321781485
20200205,144500,3133.3600000,3133.7000000,3123.3400000,3128.8700000,2229669423
20200205,150000,3128.7600000,3129.3400000,3121.7600000,3125.5700000,1899448154
20200205,151500,3125.5900000,3127.1900000,3123.7700000,3124.2300000,1257273691
