<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200203,101500,7267.9000000,7355.5500000,7267.9000000,7338.3700000,1570312265
20200203,103000,7338.0200000,7346.6800000,7336.3300000,7336.3300000,389144819
20200203,104500,7334.4100000,7336.5200000,7323.9800000,7329.8100000,753409678
20200203,110000,7332.0100000,7356.5400000,7332.0100000,7353.0900000,555090566
20200203,111500,7354.2200000,7357.7200000,7342.3900000,7344.1300000,543304476
20200203,113000,7344.4700000,7353.9200000,7337.0800000,7337.0800000,404243283
20200203,114500,7335.9800000,7345.5800000,7329.4700000,7345.3500000,429407425
20200203,120000,7344.2900000,7353.0400000,7341.2400000,7347.5400000,326168925
20200203,121500,7346.2600000,7359.8100000,7337.9200000,7354.0900000,577133566
20200203,123000,7357.2600000,7367.2400000,7351.1100000,7356.1300000,437858847
20200203,124500,7355.5600000,7357.2900000,7343.8400000,7349.4300000,337110240
20200203,130000,7349.4100000,7366.2300000,7348.7800000,7364.5100000,204058671
20200203,131500,7364.8400000,7371.2400000,7356.7400000,7361.5400000,324907676
20200203,133000,7363.3600000,7374.4500000,7360.3600000,7374.4500000,613003493
20200203,134500,7372.9300000,7376.0100000,7365.9400000,7365.9400000,396938343
20200203,140000,7365.8400000,7370.8400000,7364.2100000,7370.8200000,348263445
20200203,141500,7370.3500000,7383.9400000,7368.9200000,7383.7600000,354362860
20200203,143000,7383.8100000,7385.0100000,7373.8800000,7381.8700000,164066976
20200203,144500,7385.3800000,7389.8400000,7381.2000000,7388.0700000,212473986
20200203,150000,7386.6300000,7396.5100000,7385.0500000,7391.5300000,309867156
20200203,151500,7391.0700000,7393.2700000,7386.1000000,7388.2500000,236108144
20200203,153000,7389.6300000,7394.4800000,7374.1600000,7375.2600000,323756610
20200203,154500,7375.0700000,7375.5800000,7353.5400000,7361.6700000,412868971
20200203,160000,7361.6500000,7374.8600000,7360.8400000,7369.5600000,774117175
20200203,161500,7369.2400000,7373.5100000,7360.9200000,7369.7500000,408261448
20200203,163000,7369.4500000,7383.4700000,7368.8900000,7381.6600000,674449372
20200203,164500,7381.7200000,7384.6600000,7374.6500000,7381.5300000,575288123
20200203,170000,7381.0500000,7381.6500000,7371.6400000,7374.3700000,250551547
20200203,171500,7374.7900000,7378.4000000,7367.8900000,7377.4500000,164568321
