<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200203;101500;251.8000000;253.9400000;251.8000000;253.1100000;4432950
20200203;103000;253.1100000;253.5000000;252.1400000;252.4600000;1153690
20200203;104500;252.4700000;252.5800000;251.1000000;251.4100000;1999280
20200203;110000;251.3900000;252.8700000;251.2100000;252.5000000;1408730
20200203;111500;252.5000000;253.2000000;252.0500000;252.1900000;1688610
20200203;113000;252.2700000;253.0000000;252.2100000;252.5700000;1013140
20200203;114500;252.5700000;253.0000000;252.0500000;252.3700000;1153060
20200203;120000;252.4500000;252.8100000;252.2400000;252.7700000;893690
20200203;121500;252.7800000;253.2500000;252.4300000;253.0000000;1720570
20200203;123000;252.9900000;253.4500000;252.6200000;252.7100000;1226130
20200203;124500;252.7600000;252.8000000;252.0500000;252.4500000;906730
20200203;130000;252.3900000;252.8700000;252.2900000;252.8100000;593090
20200203;131500;252.7700000;253.2800000;252.5800000;253.0600000;909190
20200203;133000;253.0800000;253.8400000;252.8300000;253.6800000;2129560
20200203;134500;253.6800000;253.9400000;253.0700000;253.0700000;1064620
20200203;140000;253.0700000;253.1200000;252.7200000;252.8900000;1244140
20200203;141500;252.8800000;253.9500000;252.8600000;253.7600000;1180740
20200203;143000;253.7600000;253.7800000;253.1500000;253.4500000;419730
20200203;144500;253.4600000;253.5000000;253.0000000;253.1600000;659480
20200203;150000;253.1500000;253.9000000;253.1100000;253.5000000;794570
20200203;151500;253.5100000;253.6000000;253.1700000;253.3800000;682330
20200203;153000;253.3800000;253.5600000;252.7000000;253.1200000;934590
20200203;154500;253.1600000;253.3900000;252.5100000;253.2600000;1309690
20200203;160000;253.2800000;254.3000000;253.0800000;253.7700000;2801850
20200203;161500;253.7700000;253.8600000;253.0900000;253.5400000;1300790
20200203;163000;253.5600000;254.5000000;253.5600000;254.1200000;2334160
20200203;164500;254.1600000;254.2500000;253.7600000;253.8400000;1967370
20200203;170000;253.8500000;253.9000000;253.4200000;253.6900000;703580
20200203;171500;253.7100000;253.9900000;253.3200000;253.9400000;421640
20200203;173000;253.9400000;254.1900000;253.5600000;253.6400000;894000
20200203;174500;253.6400000;254.1300000;253.5300000;253.8200000;961390
20200203;180000;253.8800000;254.9000000;253.8700000;254.6600000;3066990
20200203;181500;254.6700000;254.9600000;254.2200000;254.2400000;2747500
20200203;183000;254.3100000;254.6300000;254.0700000;254.4100000;1011730
20200203;184500;254.3600000;254.5000000;254.1600000;254.4900000;997720
20200203;190000;253.9900000;253.9900000;253.9900000;253.9900000;3894080
20200204;101500;255.3300000;257.3800000;254.4200000;255.2200000;3139880
20200204;103000;255.1700000;255.4500000;255.1000000;255.2700000;939480
20200204;104500;255.2800000;255.4400000;255.0100000;255.0100000;539010
20200204;110000;255.0100000;255.2000000;254.5600000;254.5800000;1343740
20200204;111500;254.5800000;254.9300000;254.0800000;254.5700000;2410150
20200204;113000;254.6000000;254.9300000;253.8100000;253.8400000;1691650
20200204;114500;253.8400000;253.8800000;252.9000000;253.4900000;2909530
20200204;120000;253.5100000;254.3000000;253.1600000;254.0600000;1839000
20200204;121500;254.0900000;254.2800000;253.6100000;253.8300000;1191650
20200204;123000;253.8100000;254.0300000;253.6800000;253.9000000;645540
20200204;124500;253.9000000;254.6000000;253.8800000;254.0900000;1232720
20200204;130000;254.0900000;254.5300000;253.8900000;254.2800000;829580
20200204;131500;254.2800000;254.5000000;254.0600000;254.4500000;736670
20200204;133000;254.4500000;254.5000000;254.2300000;254.4000000;868090
20200204;134500;254.3900000;254.8700000;254.3400000;254.7800000;1410840
20200204;140000;254.8000000;254.9200000;254.5400000;254.8100000;892430
20200204;141500;254.7700000;254.9000000;254.5000000;254.8800000;798390
20200204;143000;254.8800000;255.0000000;254.6700000;254.9300000;1347810
20200204;144500;254.9400000;255.4000000;254.9400000;255.2300000;1286750
20200204;150000;255.2300000;255.2600000;254.3200000;254.8800000;1146340
20200204;151500;254.8700000;254.9400000;254.1000000;254.5800000;1809930
20200204;153000;254.5900000;255.2000000;254.3900000;255.1500000;953180
20200204;154500;255.1600000;255.4900000;255.0100000;255.4700000;1433650
20200204;160000;255.4700000;255.7500000;255.3300000;255.7300000;2448460
20200204;161500;255.7300000;256.1400000;255.2300000;256.1200000;2082480
20200204;163000;256.1200000;256.2900000;255.7500000;255.9700000;1167310
20200204;164500;255.9800000;256.0200000;255.5600000;255.8000000;1106210
20200204;170000;255.8000000;256.1100000;255.6900000;256.0700000;979260
20200204;171500;256.0700000;256.2000000;255.4000000;255.4700000;1226180
20200204;173000;255.4900000;255.4900000;255.0700000;255.2100000;874010
20200204;174500;255.2200000;255.6700000;255.1400000;255.4000000;1198140
20200204;180000;255.3500000;255.7600000;255.3500000;255.5400000;1338640
20200204;181500;255.5400000;255.5600000;254.8100000;255.2200000;1462640
20200204;183000;255.1700000;255.5400000;255.0700000;255.4800000;1110080
20200204;184500;255.4800000;255.7000000;255.3000000;255.6000000;1084170
20200204;190000;255.4000000;255.4000000;255.4000000;255.4000000;2257700
20200205;101500;255.8900000;256.0800000;254.0000000;254.1400000;2386870
20200205;103000;254.1200000;254.4900000;253.7500000;254.2500000;1198580
20200205;104500;254.2200000;254.6300000;254.1500000;254.3000000;753050
20200205;110000;254.3900000;254.4900000;254.0800000;254.4200000;554480
20200205;111500;254.3500000;254.5000000;253.7000000;253.8900000;1688000
20200205;113000;253.9100000;253.9300000;253.1400000;253.5500000;1866960
20200205;114500;253.5900000;255.6900000;253.3700000;255.6900000;5520380
20200205;120000;255.6900000;256.4500000;255.3700000;256.2100000;2770900
20200205;121500;256.2300000;257.3000000;255.9200000;256.5700000;3571000
20200205;123000;256.5700000;257.2300000;256.5000000;256.6900000;2144580
20200205;124500;256.7100000;257.6600000;256.6400000;257.2700000;1742400
20200205;130000;257.1900000;257.2000000;256.6100000;256.6800000;1093030
20200205;131500;256.6400000;257.0000000;256.6100000;256.7600000;775160
20200205;133000;256.8000000;256.9000000;256.5200000;256.5200000;997830
20200205;134500;256.5200000;256.9000000;256.5200000;256.7600000;289600
20200205;140000;256.7600000;257.0400000;256.6400000;256.8700000;759130
20200205;141500;256.8800000;257.4400000;256.7600000;257.3500000;1360590
20200205;143000;257.3500000;257.5900000;256.8100000;256.9000000;1774190
20200205;144500;256.9400000;257.2300000;256.5200000;256.8200000;1168350
20200205;150000;256.8200000;257.0000000;256.1100000;256.3300000;1103850
20200205;151500;256.3000000;256.5000000;256.2200000;256.3000000;497850
20200205;153000;256.3100000;256.9000000;256.2400000;256.7200000;495700
20200205;154500;256.7200000;256.9000000;256.5000000;256.8000000;533040
20200205;160000;256.8100000;256.8300000;256.4500000;256.6100000;414280
20200205;161500;256.6000000;256.9000000;256.1000000;256.8000000;925710
20200205;163000;256.8000000;257.3000000;256.5900000;256.6000000;1135150
20200205;164500;256.6000000;257.0800000;256.1500000;256.4800000;1140140
20200205;170000;256.4800000;256.9200000;256.3400000;256.8000000;939450
20200205;171500;256.8000000;256.8800000;256.5000000;256.6700000;225960
20200205;173000;256.6700000;256.7900000;256.0600000;256.4100000;741340
20200205;174500;256.4100000;256.9200000;256.2600000;256.4700000;1400000
20200205;180000;256.4800000;257.2700000;256.4800000;257.1300000;1497030
20200205;181500;257.1300000;257.2800000;256.3100000;256.4000000;1705640
20200205;183000;256.4700000;256.7900000;255.5300000;255.5900000;2309910
20200205;184500;255.6500000;255.9100000;255.1200000;255.8200000;875210
20200205;190000;255.2000000;255.2000000;255.2000000;255.2000000;2364420
20200206;101500;256.6600000;257.3900000;256.0000000;256.8500000;2409170
20200206;103000;256.8400000;257.2000000;256.6800000;257.1000000;969530
20200206;104500;257.0800000;257.0800000;256.6200000;256.8800000;1034020
20200206;110000;256.8900000;256.9000000;256.3200000;256.6000000;938230
20200206;111500;256.5900000;258.0000000;255.9900000;256.0400000;4292840
20200206;113000;256.0300000;256.2300000;255.6600000;255.9400000;1127530
20200206;114500;255.9400000;256.3700000;255.8000000;256.2600000;737000
20200206;120000;256.2400000;256.2500000;255.7000000;255.8500000;919350
20200206;121500;255.8300000;255.9600000;254.7500000;254.8800000;3519390
20200206;123000;254.8500000;255.3500000;254.4000000;254.5400000;1240510
20200206;124500;254.4800000;255.2100000;254.4500000;255.1800000;704270
