<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200203,101500,63.9550000,63.9825000,63.8125000,63.8700000,75702000
20200203,103000,63.8700000,63.8775000,63.8150000,63.8600000,28140000
20200203,104500,63.8525000,63.8575000,63.7325000,63.7575000,40852000
20200203,110000,63.7600000,63.8200000,63.7525000,63.8150000,19639000
20200203,111500,63.8100000,63.9050000,63.7750000,63.8900000,32728000
20200203,113000,63.8875000,64.0600000,63.8750000,64.0425000,72179000
20200203,114500,64.0475000,64.0925000,63.9575000,63.9925000,59824000
20200203,120000,63.9900000,64.0200000,63.8650000,63.8725000,39855000
20200203,121500,63.8625000,63.9125000,63.7725000,63.8050000,68017000
20200203,123000,63.8050000,63.8850000,63.7825000,63.8525000,19390000
20200203,124500,63.8575000,63.8825000,63.8125000,63.8300000,17902000
20200203,130000,63.8100000,63.9175000,63.7950000,63.8975000,24782000
20200203,131500,63.9000000,63.9200000,63.8425000,63.8575000,22428000
20200203,133000,63.8550000,63.8925000,63.7925000,63.8675000,24196000
20200203,134500,63.8600000,63.9250000,63.8600000,63.8750000,39648000
20200203,140000,63.8800000,63.8975000,63.8300000,63.8800000,11078000
20200203,141500,63.8800000,63.8850000,63.7150000,63.7350000,27691000
20200203,143000,63.7350000,63.7675000,63.6550000,63.7200000,28405000
20200203,144500,63.7200000,63.7525000,63.6475000,63.6500000,46369000
20200203,150000,63.6525000,63.6750000,63.6000000,63.6075000,35329000
20200203,151500,63.5975000,63.6975000,63.5925000,63.6925000,28436000
20200203,153000,63.6900000,63.7475000,63.6725000,63.7075000,8439000
20200203,154500,63.7000000,63.7975000,63.6800000,63.7750000,9506000
20200203,160000,63.7700000,63.8450000,63.7250000,63.8200000,16839000
20200203,161500,63.8225000,63.8475000,63.7700000,63.8000000,6673000
20200203,163000,63.7950000,63.8025000,63.6775000,63.7025000,15520000
20200203,164500,63.7025000,63.7550000,63.6700000,63.6975000,10720000
20200203,170000,63.7000000,63.7050000,63.6450000,63.6575000,14402000
20200203,171500,63.6600000,63.7350000,63.6550000,63.7300000,4904000
20200203,173000,63.7275000,63.7825000,63.7125000,63.7450000,5323000
20200203,174500,63.7550000,63.7725000,63.7000000,63.7275000,3107000
20200204,101500,63.6050000,63.6050000,63.4350000,63.5325000,96491000
20200204,103000,63.5300000,63.5300000,63.4300000,63.4975000,30980000
20200204,104500,63.4925000,63.6000000,63.4900000,63.5650000,29754000
20200204,110000,63.5675000,63.5700000,63.4975000,63.5400000,38903000
20200204,111500,63.5375000,63.5400000,63.3500000,63.3825000,53276000
20200204,113000,63.3800000,63.3925000,63.2250000,63.2800000,75891000
20200204,114500,63.2700000,63.3250000,63.2300000,63.2600000,20160000
20200204,120000,63.2575000,63.2775000,63.1950000,63.2400000,18908000
20200204,121500,63.2175000,63.2325000,63.1625000,63.2225000,19777000
20200204,123000,63.2175000,63.2900000,63.1875000,63.2200000,22237000
20200204,124500,63.2325000,63.2550000,63.2000000,63.2350000,18889000
20200204,130000,63.2400000,63.2900000,63.2250000,63.2725000,8380000
20200204,131500,63.2650000,63.3175000,63.2525000,63.2900000,12878000
20200204,133000,63.3025000,63.3350000,63.2900000,63.3225000,14015000
20200204,134500,63.3300000,63.3650000,63.3025000,63.3125000,18606000
20200204,140000,63.3100000,63.3750000,63.3100000,63.3600000,8318000
20200204,141500,63.3525000,63.3850000,63.3325000,63.3325000,12782000
20200204,143000,63.3300000,63.3725000,63.3050000,63.3725000,6802000
20200204,144500,63.3700000,63.4100000,63.3350000,63.3525000,14765000
20200204,150000,63.3575000,63.4225000,63.3450000,63.4125000,10498000
20200204,151500,63.4100000,63.4725000,63.4000000,63.4575000,17248000
20200204,153000,63.4625000,63.4775000,63.4000000,63.4150000,15387000
20200204,154500,63.4100000,63.4125000,63.3250000,63.3400000,24654000
20200204,160000,63.3425000,63.3700000,63.3100000,63.3175000,22309000
